CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1997-1-1,7,3,-1,2,1,-1,100,79,66,1009,1008,1007,10,10,10,11,3,,0.00,3,,68
1997-1-2,5,4,2,5,3,1,100,93,81,1009,1004,998,10,8,1,16,6,,0.00,6,Rain,52
1997-1-3,8,6,4,6,3,1,100,76,62,1010,1005,998,10,9,6,37,24,55,0.00,6,Rain,22
1997-1-4,6,3,1,5,3,1,100,99,93,1014,1012,1002,10,10,8,13,6,,0.00,4,Fog-Rain,178
1997-1-5,8,3,-2,4,1,-2,100,90,62,1012,1012,1011,10,8,0,11,3,,0.00,2,Fog-Rain,192
1997-1-6,9,6,2,4,3,2,100,86,71,1014,1013,1012,10,10,10,13,6,,0.00,5,,179
1997-1-7,6,4,3,4,2,-3,93,80,57,1008,1003,999,10,10,8,35,16,52,0.00,6,Rain,162
1997-1-8,13,10,7,11,9,4,100,90,81,999,995,993,10,7,4,26,18,48,0.00,7,Rain,205
1997-1-9,14,12,10,10,8,7,88,78,67,1014,1011,1005,10,10,10,29,18,53,0.00,4,,270
1997-1-10,15,14,13,15,14,13,100,99,94,1020,1018,1014,10,8,2,16,10,,0.00,7,,269
1997-1-11,16,13,11,13,12,11,100,89,77,1022,1022,1021,10,10,10,14,3,,0.00,3,,136
1997-1-12,20,14,9,13,11,8,100,81,52,1019,1017,1016,10,10,10,11,8,,0.00,4,,177
1997-1-13,18,12,6,11,9,6,100,85,59,1018,1016,1016,9,7,2,11,6,,0.00,1,Fog,195
1997-1-14,13,9,6,10,8,5,100,91,77,1017,1016,1015,9,6,0,10,5,,0.00,2,Fog,100
1997-1-15,15,10,5,3,3,2,81,60,45,1017,1016,1014,,,,19,13,,0.00,,,165
1997-1-16,14,12,10,10,8,5,100,79,67,1010,1007,1005,10,10,9,34,18,52,0.00,6,Rain,181
1997-1-17,14,11,8,9,8,7,93,81,67,1018,1017,1014,10,10,10,19,11,,0.00,2,,199
1997-1-18,14,11,9,11,8,5,93,82,58,1008,1006,1003,10,10,9,27,18,47,0.00,5,Rain,190
1997-1-19,11,8,5,7,6,5,100,86,71,1010,1009,1008,10,10,10,19,14,,0.00,3,Rain,203
1997-1-20,10,5,0,9,6,0,100,91,76,1012,1010,1009,10,9,0,34,11,48,0.00,6,Fog-Rain,55
1997-1-21,10,9,8,9,8,7,100,96,87,1011,1010,1009,10,9,5,23,13,,0.00,6,Rain,194
1997-1-22,12,10,9,8,7,5,87,79,71,1016,1015,1013,10,10,10,23,16,,0.00,6,,194
1997-1-23,14,10,3,6,5,3,100,73,55,1020,1017,1015,10,10,10,16,8,,0.00,2,,217
1997-1-24,14,8,3,10,7,3,100,87,67,1025,1024,1022,10,10,10,8,5,,0.00,5,Rain,180
1997-1-25,15,11,8,10,9,7,100,89,59,1024,1023,1022,10,7,0,14,5,,0.00,4,Fog,224
1997-1-26,16,11,6,10,9,6,100,86,63,1026,1024,1022,10,9,8,11,6,,0.00,5,,176
1997-1-27,15,11,8,10,8,7,100,85,67,1030,1028,1027,10,7,1,11,5,,0.00,4,Fog,50
1997-1-28,13,10,7,7,6,3,93,76,62,1030,1029,1028,,,,19,6,,0.00,,,127
1997-1-29,11,6,0,6,4,0,100,84,67,1025,1023,1021,10,9,8,10,5,,0.00,5,,195
1997-1-30,15,12,11,12,10,9,88,82,77,1021,1020,1018,10,9,6,27,18,45,0.00,6,Rain,169
1997-1-31,14,12,10,12,11,10,100,93,77,1028,1027,1023,10,8,3,11,8,,0.00,6,Rain,251
1997-2-1,16,12,8,13,11,8,100,91,77,1028,1027,1026,10,9,1,10,2,,0.00,4,Fog,193
1997-2-2,13,12,11,12,11,10,100,96,88,1030,1028,1026,10,9,8,16,13,,0.00,7,Rain,346
1997-2-3,13,9,6,10,7,6,100,87,63,1029,1028,1027,10,6,0,13,6,,0.00,2,Fog,318
1997-2-4,12,7,3,8,6,3,100,83,62,1028,1027,1026,10,8,0,24,10,,0.00,6,Fog,201
1997-2-5,13,11,10,13,12,10,100,100,100,1030,1029,1028,10,6,0,10,5,,0.00,6,Fog,198
1997-2-6,15,10,6,11,8,6,100,87,67,1028,1027,1027,10,9,0,11,6,,0.00,3,Fog,206
